priority,document_id,source_relative_path,field,current_value,deterministic_suggestion,llm_suggestion,selected_candidate,evidence,confidence,agreement_status,adjudication_reason,reviewer_value,reviewer_note,review_status,reviewed_at
P1,DOC000162,"Sunumlar_2022/6_Past, Present and Future of DSI Tunnels.pdf",document_type,unknown,unknown,presentation,,Dr. Ayhan KOÇBAY Daire Başkanı 29.11.2022 www.tunnelturkey.org,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000163,Sunumlar_2022/7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,organization,,,Mapei,,2017 Mapei Endonezya Genel Müdürü,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000164,Sunumlar_2022/8_Halkali - Istanbul Airport Metro Construction Works.pdf,document_type,unknown,unknown,presentation,,"TUNNEL ## HALKALI - ISTANBUL HAVALIMANI METRO HATTI 76,5 milyon metrekarelik alanı",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000168,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/ADR TAIEX Eğitim Dokümanı.pdf,organization,,,General Inspectorate of Road Transport in Poland,,Katarzyna Piechowska-Strumik General Inspectorate of Road Transport in Poland,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000172,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/Turcja_16-19_03_2015_part3.ppt,organization,,,General Inspectorate of Road Transport in Poland,,"TAIEX Expert Mission on road tunnel categorization Katarzyna Piechowska-Strumik General Inspectorate of Road Transport in Poland Ankara, 16-19 March 2015",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000173,TAIEX Karayolu Tünellerinin Sınıflandırılması Eğitimi 16-19 Mart 2015/Turcja_16-19_03_2015_part4.ppt,organization,,,General Inspectorate of Road Transport in Poland,,"TAIEX Expert Mission on road tunnel categorization Katarzyna Piechowska-Strumik General Inspectorate of Road Transport in Poland Ankara, 16-19 March 2015",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000175,Tünel Dergisi/E-dergi-Tünel Dergisi 46_1.pdf,organization,,,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ YÖNETİM KURULU BAŞKANI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000176,Tünel Dergisi/E-Dergi_Tünel 45_r.pdf,organization,,,Tünelcilik Derneği,,TÜNELCİLİK dERNEğİ YÖNETİM KURULU BAŞKANı CHAIRMAN OF THE TURKISH TUNNELLING SOCIETY,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000176,Tünel Dergisi/E-Dergi_Tünel 45_r.pdf,year,,,2022,,Ekim - Kasım - Aralık / October - November - December 2022 Yıl / Year:8 Sayı / Nr: 45,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000177,Tünel Dergisi/E-dergi_Tünel-35.pdf,organization,,,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ TURKISH TUNNELLING SOCIETY,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000194,Tünel Dergisi/Tunel Dergisi 1.pdf,organization,,,Tünelcilik Derneği,,Prof. Dr. NUH BİLGİN TÜNELCİLİK DERNEĞİ BAŞKANI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000194,Tünel Dergisi/Tunel Dergisi 1.pdf,year,,,2013,,Kasım-Aralık 2013 Yıl:1 Sayı: 1,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000195,Tünel Dergisi/Tunel Dergisi 2.pdf,organization,,,Tünelcilik Derneği,,Prof. Dr. Nuh bİLGİN TÜNELCİLİK DERNEĞİ BAŞKANI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000196,Tünel Dergisi/Tunel Dergisi 3.pdf,organization,,,Tünelcilik Derneği,,Prof. Dr. Nuh bİLGİN TÜNELCİLİK DERNEĞİ BAŞKANI President of Turkish Tunnelling Society,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000196,Tünel Dergisi/Tunel Dergisi 3.pdf,year,,,2014,,Mart-Nisan / March-April 2014 Yıl / Y ear :1 Sayı / Nr : 3,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000197,Tünel Dergisi/Tunel Dergisi 4.pdf,organization,,,TÜNELCİLİK DERNEĞİ,,TÜNELCİLİK DERNEĞİ Oruçreis Mahallesi Barbaros Caddesi Tekstilkent Sitesi A 11 Blok 3.Kat No 48 Esenler İstanbul,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000197,Tünel Dergisi/Tunel Dergisi 4.pdf,year,,,2014,,Mayıs-Haziran / May-June 2014 Yıl / Y ear :1 Sayı / Nr : 4,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000198,Tünel Dergisi/Tunel Dergisi 5.pdf,organization,,,Tünelcilik Derneği,,Prof. Dr. Nuh BİLGİN TÜNELCİLİK DERNEĞİ BAŞKANI President of Turkish Tunnelling Society,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000198,Tünel Dergisi/Tunel Dergisi 5.pdf,year,,,2014,,Temmuz-Ağustos / July-August 2014 Yıl / Y ear :1 Sayı / Nr : 5,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000199,Tünel Dergisi/Tunel Dergisi 6.pdf,year,,,2014,,Eylül-Ekim / September-October 2014,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000200,Tünel Dergisi/tunel37.pdf,organization,,,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000200,Tünel Dergisi/tunel37.pdf,year,,,2021,,"7-8 Ekim 2020 tarihlerinde yapılmasını planladığımız Uluslararası Tünelcilik Sempozyumu'nu bilinmeyen bir tarihe erteleme durumunda kaldık. Malezya'daki Dünya Tünelcilik Sempozyumu (WTC) 2020 görsel bir konferansa dönüştü ve bizim için en önemlisi Malezya'daki Genel Kurul'da, WTC 2023 için yapılacak oylamanın Ocak 2021'de yapılacak Genel Kurul'a ertelenmesi oldu.",high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000201,Tünel Dergisi/Tünel 42-E-dergi_2.pdf,organization,,,Tünelcilik Derneği,,HAZIRLAYAN | TÜNELCİLİK DERNEĞİ,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000202,Tünel Dergisi/Tünel 44_red.pdf,year,,,2022,,"The 'World Tunnel Congress 2022, Copenhagen' which was postponed twice is due now on 2-8 September.",high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000203,Tünel Dergisi/Tünel 51_red (1).pdf,organization,,,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000204,Tünel Dergisi/TÜNEL SAYI-33.pdf,organization,,,Tünelcilik Derneği,,www.tuneldergisi.com | Tünelcilik Derneği Adına İmtiyaz Sahibi,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000205,Tünel Dergisi/TÜNEL-41.pdf,organization,,,Tünelcilik Derneği,,TÜNELcİLİK DERNEğİ YÖNETİM KURULU BAŞKANI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000205,Tünel Dergisi/TÜNEL-41.pdf,year,,,2021,,Ekim - Kasım - Aralık / October - November - December 2021,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000206,Tünel Dergisi/Tünel-47-e-dergisi_r.pdf,organization,,,Tünelcilik Derneği,,"Tünelcilik Derneği Tünelcilik Derneği - TÜRKİYE'NİN ""EN HIZLI METROSU"" KAĞITHANE-İSTANBUL HAVALİMANI METROSU HİZMETE GİRDİ",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000206,Tünel Dergisi/Tünel-47-e-dergisi_r.pdf,year,,,2023,,"12-18 MAYIS 2023 WORLD TUNNEL CONGRESS 2023 ATINA, YUNANISTAN",high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000208,Tünel Dergisi/TÜNEL_SAYI-38.pdf,organization,,,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000209,"Tünel Kazaları, Çökmeler ve Felaketler/Dünyada Tünel Felaketleri.docx",document_type,unknown,unknown,web_article,,education.sakshi.com/en/general-knowledge/stock-gk/worst-tunnel-crash-disaster-word-and-india-144354,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000210,"Tünel Kazaları, Çökmeler ve Felaketler/HAWKS NEST TUNNEL DISASTER.pdf",year,,,2023,,"(2023, Feb.). The historic and cultural importance of the Hawks Nest Tunnel disaster. Professional Safety",high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000210,"Tünel Kazaları, Çökmeler ve Felaketler/HAWKS NEST TUNNEL DISASTER.pdf",document_type,unknown,unknown,magazine,,"Professional Safety, 68 (2), 42-47",high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000214,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/2-TÜNEL DESTEKLEMESİ-PÜSKÜRTME BETON.pptx,organization,,,Yol Yapım Dairesi Başkanlığı,,Yol Yapım Şubesi Müdürlüğü Yol Yapım Dairesi Başkanlığı Başlıca tünel destek elemanları,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000243,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/22.10.2018/Bölgenin Yazısı.pdf,year,,,2018,,01/10/2018 tarih ve 55500382-755/449665 sayılı yazınız,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000245,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/22.10.2018/K.Maras Tunel Takip Formlari.pdf,organization,,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIGI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000248,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/K.MARAS KONT.SEF.TUNEL IMALATLARI.pdf,organization,,,T.C. ULASTIRMA VE ALTYAPI BAKANLIGI,,T.C. ULASTIRMA VE ALTYAPI BAKANLIGI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000249,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Cikis Sag Tup 26.11.2018.pdf,organization,,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000250,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Cikis Sol Tup 26.11.2018.pdf,organization,,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIGI Karayollari Genel Müdürlüğü,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIGI Karayollari Genel Müdürlogo,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000251,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Giris Sol Tup 26.11.2018.pdf,organization,,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000252,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T8 TUNELICIKIS Sag Tup 23.11.2018.pdf,organization,,,Karayolları Genel Müdürlüğü 5. Bölge Müdürlüğü,,Karayolları Genel Müdürlüğe 5. Bölge Müdirligä,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000254,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/tunel takip son calisma T3 Tuneli.pdf,year,,,2018,,Tarih | - | 13.10.2018,medium,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000278,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/FİBER DONATI RAYİÇLERİ/04.376-01A.pdf,organization,,,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI,,T.C. ÇEVRE VE ŞEHÍRCILIK BAKANLIČI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000279,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/FİBER DONATI RAYİÇLERİ/04.376-01B.pdf,organization,,,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI,,T.C. ÇEVRE VE ŞEHÍRCILIK BAKANLIČI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000280,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/FİBER DONATI RAYİÇLERİ/04.376-01C.pdf,organization,,,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI,,T.C. ÇEVRE VE ŞEHÍRCILIK BAKANLIČI,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000294,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/TÜNEL ÖLÇÜM PLANLAMASI VE TASARIMA YÖNELİK DEĞERLENDİRMELER.pptx,organization,,,Zemin Mekaniği ve Tüneller ANKARA Şubesi Müdürlüğü Ar-Ge Dairesi Başkanlığı,,Mehmet Sercan KÜÇÜKASLAN Tünel Proje Şefi 25.02.2019 Zemin Mekaniği ve Tüneller ANKARA Şubesi Müdürlüğü Ar-Ge Dairesi Başkanlığı,high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,organization,,,Atılım University; General Directorate of Turkish Highways,,"Department of Civil Engineering, Atılım University... General Directorate of Turkish Highways",high,llm_only,field_specific_organization_identity_or_publication_check_required,,,pending,
P1,DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,year,,,2017,,Jeoloji Mühendisliği Dergisi / Journal of Geological Engineering 41 (2017) 155-172,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,document_type,unknown,unknown,academic_article,,Derleme / Review Paper,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P1,DOC000309,Özgür Satıcı/OS_JMO_DERGİ_39_1.pdf,year,,,2015,,Geliş (received) : 26 Mayıs (May) 2015,high,llm_only,field_specific_year_identity_or_publication_check_required,,,pending,
P1,DOC000309,Özgür Satıcı/OS_JMO_DERGİ_39_1.pdf,document_type,unknown,unknown,academic_article,,## ÖZ ... ## ABSTRACT,high,llm_only,field_specific_document_type_identity_or_publication_check_required,,,pending,
P2,DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,language,,unknown,mixed,,Sayfa 1,medium,llm_only,field_specific_language_identity_or_publication_check_required,,,pending,
P2,DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,language,,unknown,en,,# Estimate of annual operating costs Highway Tunnel,high,llm_only,field_specific_language_identity_or_publication_check_required,,,pending,
P2,DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,language,,unknown,mixed,,# Enjeksiyon Foto2,high,llm_only,field_specific_language_identity_or_publication_check_required,,,pending,
P2,DOC000056,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Foto_Kaynak.docx,language,,unknown,mixed,,Enjeksiyon Fotoları,medium,llm_only,field_specific_language_identity_or_publication_check_required,,,pending,
P2,DOC000057,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/InvertBetonUygulaması.png,language,,unknown,mixed,,InvertBetonUygulaması,medium,llm_only,field_specific_language_identity_or_publication_check_required,,,pending,
P2,DOC000241,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemerli tip kesit.pdf,language,,unknown,tr,,Taban kemerli tip kesit,high,llm_only,field_specific_language_identity_or_publication_check_required,,,pending,
P2,DOC000242,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemersiz tip kesit.pdf,language,,unknown,tr,,Taban kemersiz tip kesit,high,llm_only,field_specific_language_identity_or_publication_check_required,,,pending,
