priority,document_id,source_relative_path,field,previous_candidate,verification_value,verification_evidence,verification_confidence,verification_reason,reviewer_value,reviewer_note,review_status,reviewed_at
P1,DOC000202,Tünel Dergisi/Tünel 44_red.pdf,year,2022,,"Dünya Tünel Kongresi 2022 Kopenhag, 2-8 Eylül tarihleri arasında Danimarka'da gerçekleştirilecek.",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000203,Tünel Dergisi/Tünel 51_red (1).pdf,organization,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ YÖNETİM KURULU BAŞKANI,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000204,Tünel Dergisi/TÜNEL SAYI-33.pdf,organization,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ YÖNETİM KURULU BAŞKANI,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000205,Tünel Dergisi/TÜNEL-41.pdf,organization,Tünelcilik Derneği,,Tünelcilik ve Yeraltı Teknolojileri Dergisi Turkish Tunneling and Underground Technologies Magazine,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000205,Tünel Dergisi/TÜNEL-41.pdf,year,2021,,Ekim - Kasım - Aralık / October - November - December 2021 Yıl / Year:7,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000206,Tünel Dergisi/Tünel-47-e-dergisi_r.pdf,organization,Tünelcilik Derneği,,Tünel dergisinin yayın organı olan Tünel dergisi,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000206,Tünel Dergisi/Tünel-47-e-dergisi_r.pdf,year,2023,,"WTC2025 kongresinin yapılacağı ülke, ITA üyesi ülkelerin oylarıyla Atina'da WTC2023'de karar verilecek.",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000208,Tünel Dergisi/TÜNEL_SAYI-38.pdf,organization,Tünelcilik Derneği,,TÜNELCİLİK DERNEĞİ YÖNETİM KURULU BAŞKANI,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000209,"Tünel Kazaları, Çökmeler ve Felaketler/Dünyada Tünel Felaketleri.docx",document_type,web_article,,education.sakshi.com/en/general-knowledge/stock-gk/worst-tunnel-crash-disaster-word-and-india-144354,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000210,"Tünel Kazaları, Çökmeler ve Felaketler/HAWKS NEST TUNNEL DISASTER.pdf",document_type,magazine,,Vantage Point articles in Professional Safety provide a forum for authors with distinct viewpoints to share their ideas and opinions with ASSP members,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000243,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/22.10.2018/Bölgenin Yazısı.pdf,year,2018,,22.10.2018 Tarık İRDE Bölge Müdürü,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000245,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/22.10.2018/K.Maras Tunel Takip Formlari.pdf,organization,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000248,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/K.MARAS KONT.SEF.TUNEL IMALATLARI.pdf,organization,T.C. ULASTIRMA VE ALTYAPI BAKANLIGI,,T.C. ULASTIRMA VE ALTYAPI BAKANLIGI,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000249,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Cikis Sag Tup 26.11.2018.pdf,organization,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000250,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Cikis Sol Tup 26.11.2018.pdf,organization,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIGI Karayollari Genel Müdürlüğü,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000251,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/T2 Tuneli Giris Sol Tup 26.11.2018.pdf,organization,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,,T.C. ULAŞTIRMA VE ALTYAPI BAKANLIĞI Karayolları Genel Müdürlüğü,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000254,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/24.12.2018/tunel takip son calisma T3 Tuneli.pdf,year,2018,,Tarih | 13.10.2018,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000278,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/FİBER DONATI RAYİÇLERİ/04.376-01A.pdf,organization,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI,,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI Coğrafi Bilgi Sistemleri Genel Müdürlüğü,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000279,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/FİBER DONATI RAYİÇLERİ/04.376-01B.pdf,organization,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI,,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI Coğrafi Bilgi Sistemleri Genel Müdürlüğü,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000280,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/FİBER DONATI RAYİÇLERİ/04.376-01C.pdf,organization,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI,,T.C. ÇEVRE VE ŞEHİRCİLİK BAKANLIĞI Coğrafi Bilgi Sistemleri Genel Müdürlüğü,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,organization,Atılım University; General Directorate of Turkish Highways,,"Department of Civil Engineering, Atılım University, Kızılcaşar Mahallesi İncek- Ankara, TURKEY",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,year,2017,,Jeoloji Mühendisliği Dergisi / Journal of Geological Engineering 41 (2017) 155-172,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,document_type,academic_article,,Derleme / Review Paper,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000309,Özgür Satıcı/OS_JMO_DERGİ_39_1.pdf,year,2015,,Kabul (accepted) : 19 Haziran (June) 2015,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P1,DOC000309,Özgür Satıcı/OS_JMO_DERGİ_39_1.pdf,document_type,academic_article,,"Özgür SATICI 1 , Tamer TOPAL 2 ... Geliş (received) : 26 Mayıs (May) 2015 Düzeltme (revised) : 09 Haziran (June) 2015 Kabul (accepted) : 19 Haziran (June) 2015",high,strong_evidence_or_identity_threshold_not_met,,,pending,
P2,DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,language,mixed,,AppendixF /G49/G72/G90/G73/G82/G88/G81/G71/G79/G68/G81/G71/G3/G41/G76/G91/G72/G71/G3/G47/G76/G81/G78/G3/G51/G85/G72/G16/G73/G72/G68/G86/G76/G69/G76/G79/G76/G87/G92/G3/G54/G87/G88/G71/G92/G51/G68/G74/G72/G3/G20/G3/G82/G73/G3/G21 /G53/G68/G76/G79/G3/G55/G88/G81/G81/G72/G79 /G40/G86/G87/G76/G80/G68/G87,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P2,DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,language,en,,# Estimate of annual operating costs Highway Tunnel,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P2,DOC000054,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Enjeksiyon  Foto2.jpg,language,mixed,,Kaynak arşiv görseli: Enjeksiyon Foto2.,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P2,DOC000056,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Foto/Foto_Kaynak.docx,language,mixed,,Enjeksiyon Fotoları **Invert Betonu Uygulaması Fotosu**,high,strong_evidence_or_identity_threshold_not_met,,,pending,
P2,DOC000241,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemerli tip kesit.pdf,language,tr,,TABAN KEMERLI TÜNEL TIP KESITI (ALIYMANDA),high,strong_evidence_or_identity_threshold_not_met,,,pending,
P2,DOC000242,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Taban kemersiz tip kesit.pdf,language,tr,,# Taban kemersiz tip kesit ## Sayfa 1 NOTLAR: AKuNids ORGLEN TRAFIK SAHIMLARIKATE ALINA 4 NYORNLATMA ALAT 80 TABAN KEMERSIZ TONEL TIP KESITI (V.NODA),high,strong_evidence_or_identity_threshold_not_met,,,pending,
